ROUTE_ID,ROUTE_NAME,ID_RUTA,TIME,LONGITUD,DISTANCE,RUTA_ACT,RUTA_ANT,CLASE,ORI_DES,SITUACION,FRECUENCIA,FLOTA,CAPACIDAD,HEADWAY,TDR,MODE,CORREDOR,DEMANDA1,DEMANDA2,DEMANDA3,F_CORREDOR
1288,Route 652,652,82.54,34.69,0.0,T13A-7 Juanacatl�n Guadalajara Centro,Juanacatlan-El Salto-Alameda-Ant. Cen_2,Complementaria de troncal,Destino: Guadalajara Centro,Operando,1.0,0.0,80.0,60.0,100.29,15,4.0,0.0,0.0,0.0,0.0
1289,Route 660,660,61.79,26.57,0.0,T13A-C03 Rancho Alegre,180A Rancho Alegre - Antigua Central_2,Complementaria de troncal,Destino: Centro Metropolitano,Operando,1.25,5.0,104.0,48.0,77.29,15,4.0,0.0,0.0,0.0,0.0
1290,Route 662,662,65.95,27.75,0.0,T13A-C03 Silos,180A Silos - Antigua Central de Autob_2,Complementaria de troncal,Destino: Centro Metropolitano,Operando,1.0,0.0,80.0,60.0,81.83,15,4.0,0.0,0.0,0.0,0.0
1291,Route 722,722,78.17,36.03,0.0,T13A-C04,Arvento - Antigua Central de Autobuse,Complementaria de troncal,,Solo campo,2.86,12.0,232.0,21.0,104.6,15,4.0,0.0,0.0,0.0,0.0
1293,Route 465,465,97.99,33.91,0.0,T13A-C01 Central de Autobuses (No opera),176 Central de Autobuses_2,Complementaria de troncal,Destino: Central de Autobuses,No opera,1.88,5.0,152.0,32.0,106.38,15,4.0,0.0,0.0,0.0,0.0
1294,Route 654,654,68.7,24.99,0.0,T13A-C01 Antigua Central de Autobuses,176 Antigua Central de Autobuses_1,Complementaria de troncal,Destino: Centro Metropolitano,Operando,1.0,20.0,80.0,60.0,77.97,15,4.0,0.0,0.0,0.0,0.0
1295,Route 656,656,67.09,28.13,0.0,T13A-C02 Cima Serena,176C Cima Serena_2,Complementaria de troncal,Destino: Centro Metropolitano,Operando,4.62,20.0,368.0,13.0,83.33,15,4.0,0.0,0.0,0.0,0.0
1296,Route 658,658,78.63,32.8,0.0,T13A-C02 Purisima,176C Purisima_2,Complementaria de troncal,Destino: Centro Metropolitano,Operando,4.62,20.0,368.0,13.0,98.44,15,4.0,0.0,0.0,0.0,0.0
1306,Route 911,911,37.15,27.15,0.0,L3_Op1,L3,Tren ligero,L3 Carretera a Colotl�n,Propuesta,12.0,0.0,6000.0,5.0,39.62,5,3.0,0.0,0.0,0.16,0.0
1307,Route 912,912,37.15,27.17,0.0,L3_Op1,L3,Tren ligero,L3 Carretera a Colotl�n,Propuesta,12.0,0.0,6000.0,5.0,39.62,5,3.0,0.0,0.0,0.16,0.0
1308,Route 913,913,37.15,37.14,0.0,L3_Op2 VdLM,L3,Tren ligero,Valle de Los Molinos,Propuesta,12.0,0.0,6000.0,5.0,39.62,5,3.0,0.0,0.0,0.16,0.0
1309,Route 914,914,37.15,37.15,0.0,L3_Op2 VdLM,L3,Tren ligero,Valle de Los Molinos,Propuesta,12.0,0.0,6000.0,5.0,39.62,5,3.0,0.0,0.0,0.16,0.0
1310,Route 915,915,37.15,29.39,0.0,L3_Op2 Tesist�n,L3,Tren ligero,L3 Tesist�n,Propuesta,12.0,0.0,6000.0,5.0,39.62,5,3.0,0.0,0.0,0.16,0.0
1311,Route 916,916,37.15,29.44,0.0,L3_Op2 Tesist�n,L3,Tren ligero,L3 Tesist�n,Propuesta,12.0,0.0,6000.0,5.0,39.62,5,3.0,0.0,0.0,0.16,0.0
1321,Route 941,941,37.15,23.81,0.0,L3_Op3,L3,Tren ligero,L3 Av. Aviaci�n,Propuesta,12.0,0.0,6000.0,5.0,39.62,5,3.0,0.0,0.0,0.16,0.0
1322,Route 942,942,37.15,23.84,0.0,L3_Op3,L3,Tren ligero,L3 Av. Aviaci�n,Propuesta,12.0,0.0,6000.0,5.0,39.62,5,3.0,0.0,0.0,0.16,0.0
1332,Route 951,951,71.74,17.35,0.0,L3 Alimentadora Milpillas Op3,L3,SITREN,Milpillas,Propuesta,1.36,5.0,112.0,20.0,82.95,6,10.0,0.0,0.0,0.0,0.0
1333,Route 952,952,69.92,17.35,0.0,L3 Alimentadora Milpillas Op3,L3,SITREN,Milpillas,Propuesta,1.36,5.0,112.0,20.0,81.21,6,10.0,0.0,0.0,0.0,0.0
1335,Route 954,954,98.18,13.31,0.0,L3 Alimentadora Angeles Op3,L3,SITREN,�ngeles,Propuesta,1.88,9.0,152.0,20.0,89.98,6,,0.0,0.0,0.0,0.0
1336,Route 955,955,83.77,9.64,0.0,L3 Alimentadora Las Agujas Op3,L3,SITREN,T16B-C03,Propuesta,5.45,20.0,440.0,12.0,76.86,6,,0.0,0.0,0.0,0.0
1337,Route 956,956,81.96,9.67,0.0,L3 Alimentadora Las Agujas Op3,L3,SITREN,T16B-C03,Propuesta,5.45,20.0,440.0,12.0,75.44,6,,0.0,0.0,0.0,0.0
